Missingness (%),RF Accuracy,SVM Accuracy,RF F1,SVM F1,RF Precision,SVM Precision,RF Recall,SVM Recall,Description
10,0.8436018957345972,0.6990521327014217,0.5285714285714286,0.4037558685446009,0.4933333333333333,0.2905405405405405,0.5692307692307692,0.6615384615384615,RF more robust; RF better F1
20,0.8033175355450237,0.6800947867298578,0.4113475177304964,0.3891402714932127,0.3815789473684211,0.2756410256410256,0.4461538461538462,0.6615384615384615,RF more robust; RF better F1
30,0.7630331753554502,0.6587677725118484,0.3421052631578947,0.3898305084745763,0.2988505747126437,0.2690058479532163,0.4,0.7076923076923077,RF more robust; SVM better F1; Performance drops at high missingness
40,0.7511848341232228,0.6398104265402843,0.3225806451612903,0.4015748031496063,0.2777777777777778,0.2698412698412698,0.3846153846153846,0.7846153846153846,RF more robust; SVM better F1; Performance drops at high missingness
