missingness_pct,accuracy,f1_score,precision,recall
10,0.8436018957345972,0.5285714285714286,0.49333333333333335,0.5692307692307692
20,0.8033175355450237,0.41134751773049644,0.3815789473684211,0.4461538461538462
30,0.7630331753554502,0.34210526315789475,0.2988505747126437,0.4
40,0.7511848341232228,0.3225806451612903,0.2777777777777778,0.38461538461538464
